Año,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Max_Anual,Ln_Max_Anual
1941,,,,,,,,,,,,10.06,10.06,2.3085671646715933
1942,5.51,4.37,1.95,12.76,14.87,2.19,30.53,38.92,19.48,18.06,2.24,2.26,38.92,3.6615082573178044
1943,9.03,0.46,3.87,4.14,23.55,15.05,5.09,1.44,19.52,22.31,5.76,6.15,23.55,3.159125820462427
1944,2.11,5.78,4.43,5.19,11.12,12.41,5.09,48.31,32.99,4.59,7.12,3.66,48.31,3.8776385785663154
1945,4.41,15.81,2.81,11.63,8.07,5.52,15.69,11.74,37.27,19.01,0.06,0.49,37.27,3.618188713491167
1946,4.39,4.61,0.34,5.71,20.04,24.43,6.48,21.18,19.93,7.1,6.47,4.46,24.43,3.195811885269649
1947,6.35,0.15,1.85,34.32,40.42,27.5,21.07,89.4,3.43,9.34,23.39,10.61,89.4,4.493120682179469
1948,6.5,25.52,15.41,18.27,26.21,37.92,19.51,5.73,22.6,53.68,12.22,0.87,53.68,3.9830404926634264
1949,4.92,25.57,27.16,45.26,6.55,19.02,15.15,16.03,12.61,22.86,0.36,5.82,45.26,3.8124236402053913
1950,3.59,5.32,1.68,6.03,18.37,67.74,22.74,2.3,11.71,0.74,4.4,0.07,67.74,4.215676847389625
1951,8.13,3.42,26.46,10.26,54.13,28.84,6.59,1.97,71.53,15.69,6.16,0.57,71.53,4.270116942120293
1952,0.67,6.71,15.76,6.29,25.32,13.13,5.87,0.93,10.34,0.0,10.51,7.72,25.32,3.2315945972759756
1953,0.84,19.82,11.04,45.42,8.89,3.42,6.21,32.32,27.62,23.42,1.03,4.24,45.42,3.8159525366774125
1954,0.93,2.96,7.27,20.52,19.8,97.02,8.09,6.75,10.55,11.89,8.22,0.67,97.02,4.57491714281707
1955,5.88,16.72,1.05,1.58,8.43,12.77,22.62,19.7,73.32,19.24,9.16,12.21,73.32,4.294833422971505
1956,2.01,13.23,2.27,25.25,32.18,8.38,2.76,23.57,5.77,34.19,2.02,11.99,34.19,3.5319332036512097
1957,0.71,21.93,11.83,41.89,37.89,31.29,0.41,2.48,63.09,3.12,40.14,16.63,63.09,4.144562278382718
1958,69.34,35.93,4.64,8.31,13.89,10.16,22.5,1.22,42.44,42.36,8.97,16.07,69.34,4.239021940256878
1959,6.81,24.8,0.2,4.5,11.25,20.26,3.95,12.12,25.17,17.59,25.53,4.62,25.53,3.2398542312533927
1960,16.55,8.45,7.63,21.37,14.95,49.61,9.26,26.82,8.28,27.36,27.1,24.87,49.61,3.9041924263129575
1961,17.65,6.9,0.34,20.13,1.58,28.78,14.25,14.83,21.93,5.76,21.31,3.76,28.78,3.359680701459222
1962,1.63,0.08,10.34,49.09,2.37,55.45,0.0,5.08,88.9,23.62,10.16,23.62,88.9,4.487512142519859
1963,2.47,6.93,0.86,7.81,27.78,38.12,12.97,6.77,26.42,10.41,27.69,18.29,38.12,3.6407390787860012
1964,12.45,18.17,8.13,16.26,19.02,0.0,55.88,0.0,43.69,35.79,1.53,7.65,55.88,4.023206534388761
1965,24.16,18.8,36.58,3.06,33.53,24.38,0.0,21.59,22.86,21.84,15.49,30.73,36.58,3.5995016429627196
1966,17.02,7.11,2.79,47.5,82.3,16.26,51.31,22.86,80.77,10.16,0.0,27.43,82.3,4.410371107683024
1967,38.1,16.0,1.52,32.26,43.43,0.0,0.0,54.86,146.05,28.19,18.49,12.72,146.05,4.9839490288337505
1968,19.05,26.16,10.67,41.15,20.83,36.83,6.35,0.0,31.75,76.2,0.0,0.0,76.2,4.333361462692601
1969,0.0,35.05,12.7,20.32,33.5,38.1,3.05,10.16,13.77,9.65,22.86,25.4,38.1,3.6402142821326553
1970,27.43,22.86,17.02,3.05,50.8,44.45,22.86,15.24,18.29,0.0,0.0,0.0,50.8,3.927896354584436
1971,0.0,16.51,0.0,20.32,32.51,50.8,16.51,165.1,166.14,44.2,0.86,20.32,166.14,5.112830806410925
1972,4.57,91.44,3.81,3.81,49.53,50.8,0.0,9.65,30.48,3.05,9.91,3.56,91.44,4.515683019486556
1973,21.08,37.59,13.21,30.48,10.67,74.93,3.81,7.87,70.1,79.25,0.0,9.4,79.25,4.37260741275739
1974,30.99,0.0,79.25,0.0,13.76,45.72,6.6,58.42,77.98,25.65,21.08,6.6,79.25,4.37260741275739
1975,15.75,6.6,9.4,7.87,18.0,25.65,63.25,24.38,12.45,48.01,0.0,7.37,63.25,4.1470951276076295
1976,7.11,0.0,16.76,77.98,51.31,18.03,102.36,8.89,153.42,39.43,21.53,10.27,153.42,5.03317925853115
1977,11.51,9.14,4.06,30.73,20.57,37.34,30.48,19.81,3.81,43.43,12.7,2.79,43.43,3.7711504465467307
1978,16.76,6.35,0.25,38.35,58.42,84.84,21.59,47.24,101.6,50.8,30.99,26.92,101.6,4.6210435351443815
1979,12.19,12.7,29.46,48.26,24.13,139.7,35.05,27.43,45.72,0.51,6.35,6.1,139.7,4.939497266262916
1980,13.46,19.05,0.29,0.0,11.94,2.03,9.65,96.52,40.64,8.89,30.48,12.7,96.52,4.569750240756831
1981,44.45,6.86,15.49,17.78,44.2,34.8,63.75,95.0,37.08,58.42,0.0,14.73,95.0,4.553876891600541
1982,0.76,43.18,5.84,26.16,76.2,3.05,0.39,4.57,20.07,41.66,17.53,7.37,76.2,4.333361462692601
