COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 21/11/2025 

DATOS DISPONIBLES EN LA BASE DE DATOS A: NOVEMBER DE 2025; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 5005 
 NOMBRE    : CANDELA (DGE) 
 ESTADO    : COAHUILA DE ZARAGOZA 
 MUNICIPIO : CANDELA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 26.84138889 ° 
 LONGITUD  : -100.7602778 ° 
 ALTITUD   : 582 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1967-05-10	NULO	NULO	NULO	NULO
1967-05-11	0	NULO	39	24
1967-05-12	0	NULO	44	25
1967-05-13	0	NULO	41	27
1967-05-14	0	NULO	38	25.5
1967-05-15	0	NULO	39	20
1967-05-16	0	NULO	33	24.5
1967-05-17	0	NULO	30	23
1967-05-18	0	NULO	32	22.5
1967-05-19	0	NULO	33	23
1967-05-20	2	NULO	35	22
1967-05-21	0	NULO	36	20
1967-05-22	0	NULO	34.5	22
1967-05-23	0	NULO	33	23
1967-05-24	0	NULO	36	24
1967-05-25	0	NULO	35	23
1967-05-26	0	NULO	36	22
1967-05-27	0	NULO	31	22.5
1967-05-28	0	NULO	32	23
1967-05-29	0	NULO	34	21
1967-05-30	0	NULO	35	22
1967-05-31	0	NULO	36	21.5
1967-06-01	0	NULO	37	26.5
1967-06-02	0	NULO	33	22
1967-06-03	0	NULO	32.5	23
1967-06-04	0	NULO	34.5	21.5
1967-06-05	0	NULO	34.5	21
1967-06-06	0	NULO	38	22
1967-06-07	0	NULO	38.5	25
1967-06-08	0	NULO	38	25
1967-06-09	0	NULO	38.5	25
1967-06-10	0	NULO	42.5	24
1967-06-11	0	NULO	40	25
1967-06-12	0	NULO	41	21.5
1967-06-13	0	NULO	38	26
1967-06-14	0	NULO	36.5	25
1967-06-15	0	NULO	47	25
1967-06-16	0	NULO	37	24
1967-06-17	0	NULO	36.5	25
1967-06-18	0	NULO	37	24
