,TR (AÑOS),2,5,10,20,50,100,500,1000,10000
0,5,6.701120814888146,8.84460572415914,10.46608946261742,12.648938880930828,15.945084003215808,18.438521532104872,24.228104183278926,26.72154171216799,35.00456189223111
1,10,10.030724304295823,13.239248186979285,15.666402806880795,19.715051266593132,24.852531230698798,28.738884795597805,37.76271832460249,41.6490718895015,54.55925898340519
2,15,12.26328551690039,16.185937886509443,19.153309852337348,24.57435254999428,30.97810175405513,35.82235102058311,47.07034949117195,51.91459875769994,68.00684649481677
3,20,13.990312464037322,18.465388271658085,21.8506524361224,28.277269451428843,35.64594951631396,41.22014080053277,54.16301214963671,59.737203433855505,78.25426606717825
4,25,15.418102892461164,20.349885469213525,24.08063496748528,31.27543089327102,39.42539192609957,45.590599447105454,59.905768000939894,66.07097552194578,86.5513515967861
5,30,16.645290142745775,21.969612628044576,25.997307103932446,33.80131897372828,42.609492822209575,49.272619116708825,64.74391925968938,71.40704555418864,93.54147199166846
6,35,17.72740545635107,23.39786374622314,27.687399850193483,35.98939194761298,45.36774849109856,52.46220134353202,68.93501073945107,76.02946359188454,99.59672584023704
7,40,18.699082876082443,24.680351244359038,29.20500609616945,37.92405802535086,47.806562799404595,55.282389065806605,72.64072010626238,80.11654637266437,104.95070367952216
8,45,19.583505936980348,25.847674365831,30.586334852038767,39.66163500837779,49.996929218060245,57.81527746987124,75.9689199313647,83.78726818317568,109.75925889648013
9,50,20.39702141229686,26.921408719894657,31.85691718879797,41.24151095775207,51.988499812603216,60.118283040916296,78.99505512408055,87.12483835239364,114.13139366387095
10,55,21.151624731609605,27.917386709522113,33.03548806774236,42.692286300249044,53.817327900371325,62.233096990346084,81.77390768044314,90.18967677041789,118.1462565504897
11,60,21.85640122177594,28.847599781539678,34.1362373305884,44.03537288160197,55.51040496911661,64.19093164215957,84.34649040271717,93.02701707576014,121.86310250936071
12,65,22.51841138250101,29.721366874947652,35.17019235971079,45.28721277997596,57.08845768373937,66.01575482600107,86.74429687202618,95.67159401428788,125.3274332025747
13,70,23.14326045196876,30.546086173288227,36.14610764945652,46.46070489705035,58.56774622801967,67.7263694374015,88.99203397775268,98.15065718713451,128.57494493686752
14,75,23.735479100566867,31.3277375707242,37.07105938945311,47.56615518724501,59.961262150932875,69.33779859919106,91.10944201113715,100.48597845939533,131.63415831959958
15,80,24.298786153000798,32.071229430973474,37.950855794943706,48.611928968265914,61.279550660641604,70.86223654300424,93.1125441177426,102.69523000010523,134.52822345720622
16,85,24.83627489868434,32.78064449273179,38.79032809411131,49.604910530259836,62.53129000167891,72.30971858747917,95.0145266446985,104.79295523049878,137.27619187351837
17,90,25.350548349693074,33.45941839253512,39.593541779581365,50.55083440898507,63.72370905349835,73.68860403943606,96.82637366988705,106.79126865582477,139.89393327221347
18,95,25.843819461985653,34.1104719437041,40.36395313809753,51.45452897769848,64.86289439916466,75.00593128091627,98.55733358413407,108.70037046588568,142.3948096508551
19,100,26.31798674110429,34.73631092601047,41.10452733465219,52.320098767505904,65.9540201559609,76.26768353991122,100.21526831231657,110.5289316962669,144.79017985262254
20,105,26.774692192946937,35.339102573140266,41.817828922415025,53.15106310397415,67.00152273885644,77.47899098274185,101.80691886150956,112.28438710539496,147.08978322804808
21,110,27.215366377435668,35.920735037661544,42.506092209427855,53.9504630351635,68.00923565256142,78.64428658443212,103.33811013370078,113.97316106557147,149.3020355467108
22,115,27.64126388481897,36.4828642151177,43.17127666697054,54.720944868420744,68.98049479689641,79.76742790137111,104.8139109343215,115.60084403879618,151.43426017622124
23,120,28.053491594028124,37.02695104137337,43.81511106463837,55.46482619729135,69.918221699439,80.8517933195952,106.23876044189906,117.17233206205529,153.49287080451538
24,125,28.453031418087196,37.554291513589796,44.439128995070284,56.18414864558499,70.82499000399079,81.90035894049356,107.61656923540214,118.69193817190492,155.48351740331628
25,130,28.840758787366468,38.06604108570937,45.04469774186356,56.88072041200043,71.7030791017654,82.91576059865719,108.95080078531394,120.16348228220573,157.41120396575428
26,135,29.21745780093176,38.563234666261216,45.633041943581986,57.55615089520512,72.55451777930281,83.90034433530444,110.24453777540377,121.59036433140538,159.28038432750637
27,140,29.58383374658035,39.04680314317604,46.20526314806913,58.211879106267084,73.38112003480299,84.85620781544996,111.50053652463286,122.97562430527984,161.0950407951097
28,145,29.940523523302467,39.51758714007644,46.762356090682644,58.849197161100435,74.18451469238995,85.7852345731458,112.72127198519118,124.32199186594703,162.85874915874822
29,150,30.288104377130516,39.97634854645872,47.305222338307225,59.469269842321026,74.96617006152665,86.68912252705094,113.90897521178088,125.63192767730516,164.5747328275594
30,155,30.627101269922587,40.423780243526394,47.83468179822749,60.07315099527975,75.72741460563637,87.56940788114085,115.06566476700196,126.90765804250647,166.2459082038721
