,TR (AÑOS),2,5,10,20,50,100,500,1000,10000
0,5,80.41344977865775,106.13526868990967,125.59307355140905,151.78726657116994,191.34100803858968,221.26225838525846,290.73725019934716,320.6585005460159,420.0547427067733
1,10,60.18434582577494,79.4354891218757,93.99841684128477,118.29030759955879,149.11518738419278,172.43330877358682,226.57630994761493,249.89443133700897,327.3555539004311
2,15,49.05314206760156,64.74375154603777,76.61323940934939,98.29741019997712,123.91240701622051,143.28940408233245,188.28139796468778,207.65839503079977,272.0273859792671
3,20,41.97093739211196,55.396164814974256,65.5519573083672,84.83180835428654,106.93784854894189,123.6604224015983,162.4890364489101,179.2116103015665,234.76279820153476
4,25,37.003446941906795,48.83972512611246,57.79352392196468,75.06103414385045,94.62094062263897,109.4174386730531,143.77384320225573,158.5703412526699,207.72324383228664
5,30,33.29058028549155,43.93922525608915,51.99461420786489,67.60263794745656,85.21898564441913,98.54523823341765,129.48783851937876,142.81409110837728,187.08294398333692
6,35,30.389837925173268,40.110623564953954,47.46411402890312,61.69610048162225,77.77328312759752,89.93520230319776,118.17430412477326,130.3362233003735,170.7372442975492
7,40,28.048624314123664,37.02052686653856,43.807509144254176,56.88608703802629,71.7098441991069,82.92358359870991,108.96108015939357,120.17481955899657,157.42605551928324
8,45,26.111341249307127,34.463565821108006,40.781779802718354,52.8821800111704,66.662572290747,77.08703662649499,101.29189324181958,111.71635757756758,146.34567852864018
9,50,24.47642569475623,32.30569046387359,38.22830062655756,49.48981314930248,62.386199775123856,72.14193964909956,94.79406614889666,104.54980602287236,136.95767239664514
10,55,23.074499707210478,30.455330955842303,36.038714255718936,46.57340323663532,58.709812254950535,67.89065126219573,89.20789928775615,98.38873829500133,128.88682532780695
11,60,21.856401221775936,28.847599781539678,34.1362373305884,44.03537288160198,55.51040496911661,64.19093164215957,84.34649040271717,93.02701707576014,121.86310250936071
12,65,20.786225891539395,27.435107884567064,32.464792947425344,41.80358102767011,52.69703786191326,60.937619839385604,80.0716586511011,88.31224062857342,115.68686141776126
13,70,19.837080387401794,26.182359577104194,30.98237798524844,39.82346134032887,50.200925338302575,58.051173803487,76.27888626664516,84.12913473182958,110.20709566017217
14,75,18.988383280453494,25.06219005657936,29.65684751156249,38.052924149796006,47.9690097207463,55.47023887935285,72.88755360890971,80.38878276751626,105.30732665567967
15,80,18.2240896147506,24.053422073230106,28.463141846207783,36.458946726199436,45.9596629954812,53.146677407253186,69.83440808830696,77.02142250007891,100.89616759290467
16,85,17.531488163777183,23.139278465457735,27.381408066431515,35.01523096253635,44.13973411883217,51.042154297044114,67.06907763155189,73.97149780976385,96.90084132248356
17,90,16.90036556646205,22.306278928356747,26.39569451972091,33.70055627265671,42.48247270233223,49.1257360262907,64.5509157799247,71.19417910388317,93.26262218147565
18,95,16.322412291780413,21.543455964444693,25.493023034587914,32.497597249072726,40.96603856789347,47.37216712478923,62.246737000505725,68.65286555740148,89.93356399001375
19,100,15.790792044662574,20.84178655560628,24.662716400791314,31.392059260503544,39.57241209357654,45.76061012394673,60.129160987389945,66.31735901776014,86.87410791157352
20,105,15.299824110255393,20.193772898937294,23.895902241380014,30.3720360594138,38.286584422203674,44.27370913299534,58.17538220657689,64.16250691736855,84.05130470174176
21,110,14.844745296783092,19.59312820236084,23.185141205142468,29.427525291907365,37.095946719578954,42.89688359150843,56.36624189110951,62.16717876303898,81.43747393456954
22,115,14.42152898338381,19.034537851365755,22.524144347984628,28.55005819221952,35.98982337229378,41.61778847028058,54.68551874834165,60.313483846328445,79.00917922237629
23,120,14.026745797014062,18.513475520686686,21.907555532319186,27.732413098645676,34.9591108497195,40.4258966597976,53.11938022094953,58.586166031027645,76.74643540225769
24,125,13.657455080681853,18.026059926523104,21.330781917633736,26.968391349880797,33.99599520191558,39.31217229143691,51.65595323299303,56.97213032251437,74.63208835359181
25,130,13.311119440322987,17.568942039558173,20.78986049624472,26.252640190154043,33.093728816199416,38.268812583995626,50.284984977837205,55.460068745633414,72.6513249072712
26,135,12.985536800414117,17.13921540722721,20.28135197492533,25.580511508980056,32.246452346356804,37.28904192680197,48.9975723446239,54.04016192506906,70.79128192333616
27,140,12.678785891391579,16.734344204218303,19.80225563488677,24.947948188400176,31.449051443486997,36.366946206621414,47.78594422484265,52.70383898797707,69.04073176933274
28,145,12.389182147573434,16.352105023479904,19.349940451316957,24.351391928731214,30.697040562368258,35.49733844406033,46.643284959389455,51.44358284108153,67.38982723810271
29,150,12.115241750852206,15.990539418583491,18.92208893532289,23.78770793692841,29.986468024610666,34.67564901082037,45.56359008471235,50.252771070922066,65.82989313102375
30,155,11.855652104486163,15.64791493297796,18.516651018668707,23.25412296591474,29.313837911859242,33.89783530882871,44.5415476517427,49.12554504871218,64.35325478859565
31,160,11.609247424431057,15.322692883730161,18.13180593130142,22.74817400806647,28.676045389484706,33.16030698006942,43.57243995207238,48.05670154265709,62.953096105244775
32,165,11.374988434823894,15.013501562210937,17.765930488912183,22.267665553555936,28.070322827019282,32.459863601517895,42.65206164947986,47.041602423978475,61.623341246439054
33,170,11.151945378500088,14.719113810193008,17.417572558054683,21.81063378156928,27.49419465808236,31.793642486216573,41.77665119086388,46.0760990189981,60.35855555177962
34,175,10.939283723132917,14.438428153818817,17.085428731398682,21.37531639978838,26.945439360432793,31.159074717898292,40.94283303600822,45.156468393473716,59.15386206904915
35,180,10.736252073137834,14.170452848890374,16.768325448038937,20.960127113625155,26.42205727222551,30.553847934459483,40.147568755293804,44.279359417527786,58.00487090059608
36,185,10.54217189720366,13.914292322549846,16.465202949525754,20.563633912163308,25.922243219558673,29.975874675097078,39.38811543803085,43.44174689356925,56.90761911204142
37,190,10.356428758666464,13.669135598516544,16.17510158309783,20.184540517605473,25.444363131893642,29.423265338928086,38.6619901602507,42.64089236728514,55.858519395642205
38,195,10.178464796385926,13.434246372824113,15.897150058001941,19.821670470253462,24.986933979792862,28.89430498545979,37.96693950066613,41.87431050633305,54.854316027206316
39,200,10.007772251341951,13.208954469772157,15.630555335062011,19.473953419819125,24.548606493928855,28.387433351256615,37.300913282694104,41.13974014002187,53.892046928787124
40,205,9.843887871833116,12.992648457517653,15.374593888485164,19.140413272256872,24.128150223138988,27.90122757142479,36.66204187059271,40.43511921887851,52.96901086633225
41,210,9.686388060170946,12.784769242344234,15.128604125766762,18.82015790390348,23.724440568207054,27.434387185781183,36.04861646765888,39.758563085233014,52.08273898468483
42,215,9.534884647820217,12.584804492398254,14.89197978912868,18.51237020497572,23.336447491415587,26.985721082844105,35.459071960712485,39.10834555214102,51.23097002143792
43,220,9.389021205324637,12.392283767271842,14.664164192207588,18.21630025505843,22.963225653070236,26.554136093941274,34.89197193282412,38.48288237369516,50.41162865344904
44,225,9.248469809067767,12.206774250548882,14.44464517024757,17.931258466149327,22.603905767713325,26.13862699773767,34.34599552932601,37.880716759350356,49.62280652096303
45,230,9.11292819971282,12.027876999316064,14.23295064203308,17.656609555684778,22.2576870066004,25.7382677346374,33.81992591359003,37.30050664162703,48.86274554861665
