nombre area,2,5,10,20,50,100,500,1000
Ext1,16.7,24,31,41,56,6.7,105.9,131.9
Ext2,14,21,27,36,50,62,97,123
Ext3,20,28,37,50,68,85,133,169
Ext4,8,11,15,20,25,33,48,60
Ext5,10,14,18,24,32,40,53,62
Ext6,17,24,31,41,55,67,96,113
Ext7,24,30,38,49,65,79,106,117
Ext8,13,18,22,29,38,45,60,66
Ext9,20,30,36,48,63,77,109,123
Ext10,25,33,41,55,72,88,120,134
Ext11,0.3,0.1,0.5,1,1.2,1.5,2,2
Ext12,1,1,2,2,3,4,5,6
Ext13,0.8,1,1.2,1.9,2,2.8,3,4
Ext14,2.7,3.8,4.7,5.8,8,9,12.3,12
Ext15,0.029744227,0.041875735,0.051411055,0.06501899,0.085390721,0.102661671,0.136070072,0.149090845
Int1SP,0.036842515,0.052151505,0.064590521,0.081967914,0.108785354,0.131707273,0.180470149,0.204525532
Int2SP,0.124782173,0.175718955,0.215816948,0.272984096,0.358688322,0.43137589,0.57265429,0.628486161
Int3SP,0.022460063,0.032711012,0.042336798,0.054627966,0.076127872,0.09507492,0.148806597,0.189249995
Int4SP,0.006169173,0.008917981,0.011470561,0.016240747,0.02200083,0.02822314,0.049388397,0.061845091
Int5SP,0.011418774,0.016630391,0.021524174,0.027773046,0.038703673,0.048336417,0.075653787,0.09621535
Int6SP,0.04433766,0.063264789,0.080477874,0.100513422,0.137419559,0.16948922,0.250796843,0.315339686
Int1CP,0.059274804,0.084315454,0.105241356,0.133958159,0.179406768,0.218508395,0.307692459,0.357918425
Int2CP,0.108939905,0.153824522,0.189991034,0.24080476,0.31836201,0.384461882,0.520852412,0.583181138
Int3CP,0.074737796,0.106310789,0.132695623,0.168903766,0.226208534,0.275510584,0.387960057,0.451288449
Int4CP,0.020446402,0.028808955,0.035421093,0.044970068,0.059127231,0.071263428,0.095652221,0.105578406
Int5CP,0.024624775,0.034659714,0.043064574,0.054622875,0.072351729,0.087486317,0.119858949,0.134743988
Int6CP,0.04433766,0.063264789,0.080477874,0.100513422,0.137419559,0.16948922,0.250796843,0.315339686
