cuenca,cota mayor,cota menor,distancia1,distancia2
Cuenca Alta,141.51,141,0,133
Cuenca Alta,141,140,0,101
Cuenca Alta,140,139,0,122
Cuenca Alta,139,138,0,288
Cuenca Alta,138,137,0,48
Cuenca Alta,137,136,0,206
Cuenca Alta,136,135,0,71
Cuenca Alta,135,134,0,63
Cuenca Alta,134,133,0,116
Cuenca Alta,133,132,0,50
Cuenca Alta,132,131,0,90
Cuenca Alta,131,130,0,226
Cuenca Alta,130,129,0,214
Cuenca Intermedia,130.96,130,0,170
Cuenca Intermedia,130,128.94,0,256
Cuenca Baja,128.94,128,0,180
Cuenca Baja,128,127,0,157
Cuenca Baja,127,125.76,0,112
