Estado	Clave estado	Clave	Nombre Estación	Municipio	Situación
Chiapas	chis	07226	Reforma Ii	La Concordia	Operando
Chiapas	chis	07170	Tzimbac	Francisco León	Suspendida
Ciudad de México	df	09071	Colonia Educacion	Coyoacán	Operando
Ciudad de México	df	09070	Campo Experimental Coyoacan	Coyoacán	Suspendida
Ciudad de México	df	09069	Colonia Juarez	Cuauhtémoc	Suspendida
Ciudad de México	df	09068	Puente La Llave	Cuauhtémoc	Operando
Ciudad de México	df	09067	Monte Alegre	La Magdalena Contreras	Suspendida
Ciudad de México	df	09064	Chapultepec	Miguel Hidalgo	Suspendida
Ciudad de México	df	09062	Vencedora 44	Gustavo A. Madero	Suspendida
Ciudad de México	df	09059	Castañeda	Álvaro Obregón	Suspendida
Ciudad de México	df	09058	Vertedor Milpa Alta	Milpa Alta	Suspendida
Ciudad de México	df	09056	Ixtacalco	Iztacalco	Suspendida
Ciudad de México	df	09055	Pedro Arvizu 36	Coyoacán	Suspendida
Ciudad de México	df	09054	General Anaya	Benito Juárez	Suspendida
Ciudad de México	df	09052	Unidad Modelo	Iztapalapa	Suspendida
Ciudad de México	df	09051	Tlahuac	Tláhuac	Operando
Ciudad de México	df	09050	Lomas De Chapultepec	Miguel Hidalgo	Suspendida
Ciudad de México	df	09049	Tarango	Álvaro Obregón	Suspendida
Ciudad de México	df	09048	Tacubaya Central (Obs)	Miguel Hidalgo	Suspendida
Ciudad de México	df	09047	Colonia Tacuba	Miguel Hidalgo	Suspendida
Ciudad de México	df	09046	Colonia Santa Fe	Álvaro Obregón	Suspendida
Ciudad de México	df	09045	Santa Ana Tlacotenco	Milpa Alta	Operando
Ciudad de México	df	09044	San Lorenzo	Milpa Alta	Suspendida
Ciudad de México	df	09043	San Juan De Aragon	Gustavo A. Madero	Operando
Ciudad de México	df	09042	San Gregorio Atlapulco	Xochimilco	Suspendida
Ciudad de México	df	09041	San Francisco Tlalnepantla	Xochimilco	Operando
Ciudad de México	df	09040	San Borja 726	Benito Juárez	Suspendida
Ciudad de México	df	09039	Presa Tacubaya	Álvaro Obregón	Suspendida
Ciudad de México	df	09038	Presa Mixcoac	Álvaro Obregón	Suspendida
Ciudad de México	df	09037	Presa Ansaldo	La Magdalena Contreras	Suspendida
Ciudad de México	df	09036	Playa Caleta 454 Colonia Marte	Iztacalco	Operando
Ciudad de México	df	09034	Moyoguarda	Xochimilco	Suspendida
Ciudad de México	df	09033	Colonia Guerrero	Cuauhtémoc	Suspendida
Ciudad de México	df	09032	Milpa Alta	Milpa Alta	Operando
Ciudad de México	df	09031	Colonia Roma	Cuauhtémoc	Suspendida
Ciudad de México	df	09030	La Venta Cuajimalpa	Cuajimalpa De Morelos	Suspendida
Ciudad de México	df	09029	Gran Canal Km. 06+250	Gustavo A. Madero	Operando
Ciudad de México	df	09028	Gran Canal Km. 3+000	Gustavo A. Madero	Suspendida
Ciudad de México	df	09026	Morelos 77	Iztapalapa	Suspendida
Ciudad de México	df	09025	Hacienda La Patera	Gustavo A. Madero	Suspendida
Ciudad de México	df	09024	Hacienda Peña Pobre	Tlalpan	Suspendida
Ciudad de México	df	09023	Guadalupe Inn	Álvaro Obregón	Suspendida
Ciudad de México	df	09022	El Guarda	Tlalpan	Operando
Ciudad de México	df	09021	Egipto 7	Azcapotzalco	Suspendida
Ciudad de México	df	09020	Desviacion Alta Al Pedregal	Tlalpan	Operando
Ciudad de México	df	09019	Desierto De Los Leones	Álvaro Obregón	Suspendida
Ciudad de México	df	09017	Cuautepec Barrio Bajo	Gustavo A. Madero	Suspendida
Ciudad de México	df	09016	Cuajimalpa	Cuajimalpa De Morelos	Suspendida
